County Name,Total Doses Allocated,Vaccine Doses Administered,People Vaccinated with at least One Dose,People Fully Vaccinated,"Population
12+","Population, 16+","Population, 65+","Population, Phase 1A Healthcare Workers","Population, Phase 1A Long-term Care Residents","Population, 16-64
 Any Medical Condition",Population Education and Child Care Personnel
Ector,"117,100","85,727","48,042","39,973","131,546","120,896","15,970","5,303","1,016","50,679",428
Edwards,0,"1,000",543,477,"1,648","1,555",561,24,0,528,0
El Paso,"713,000","788,702","454,512","356,049","688,420","640,180","105,175","35,065","8,383","245,567","27,330"
Ellis,"130,520","116,515","67,195","53,486","153,077","141,665","24,288","3,985","1,994","54,463","6,578"
Erath,"24,600","19,903","11,259","9,405","37,010","34,875","6,256","1,250",481,"12,564","1,079"
Falls,"30,755","9,221","5,512","3,953","14,863","14,049","3,226",328,187,"5,671",486
Fannin,"37,695","17,066","10,044","8,206","30,562","28,874","6,588",962,614,"10,987","1,108"
Fayette,"8,700","16,486","9,807","7,930","22,151","20,879","6,679",998,647,"6,844",671
Fisher,"2,200","1,856","1,043",935,"3,277","3,088",961,101,28,"1,061",0
Floyd,"2,300","3,394","1,890","1,650","4,667","4,371","1,070",132,68,"1,723",0
Foard,"1,700",706,404,331,"1,003",962,315,7,80,332,0
Fort Bend,"528,850","754,535","429,672","348,506","665,167","616,413","93,851","24,721","4,977","175,581","19,047"
Franklin,"3,200","4,865","2,848","2,327","9,186","8,554","2,367",169,163,"2,871",0
Freestone,"4,400","8,235","5,119","3,707","16,823","15,808","3,996",553,261,"6,319",689
Frio,"13,450","10,552","6,536","4,799","17,090","16,121","2,499",186,166,"6,797",28
Gaines,"5,100","5,410","3,169","2,668","16,201","14,548","1,907",323,95,"6,156",717
Galveston,"310,560","271,781","149,107","128,859","287,908","269,280","50,987","11,784","2,830","96,486","10,219"
Garza,"4,200","3,560","2,594","1,831","5,587","5,325",719,33,75,"2,197",0
Gillespie,"31,400","20,664","11,621","9,732","23,486","22,307","8,110","1,175",706,"6,815",681
Glasscock,0,863,480,409,"1,170","1,099",210,23,0,426,0
Goliad,"2,400","4,340","2,406","2,153","6,651","6,281","1,832",39,135,"2,282",0
Gonzales,"11,700","12,134","7,079","6,273","17,120","15,937","3,572",550,256,"6,356",693
Gray,"5,500","10,292","6,004","4,736","18,191","16,924","3,531",689,315,"6,978",42
Grayson,"67,740","71,904","42,612","35,848","114,863","107,521","24,182","9,338","2,131","40,586","4,254"
Gregg,"124,925","67,658","37,897","31,744","102,834","95,544","19,451","7,025","2,324","37,362","3,988"
Grimes,"4,700","17,852","10,726","7,994","24,734","23,245","5,134",234,311,"9,653",771
Guadalupe,"91,395","106,448","63,207","51,956","139,873","130,517","23,614","3,801","1,225","49,282","3,850"
Hale,"14,000","15,758","9,136","7,616","27,448","25,476","4,604",873,399,"10,561","1,177"
Hall,0,"1,811","1,047",886,"2,552","2,406",711,27,72,978,0
Hamilton,"6,100","5,320","3,123","2,689","7,223","6,832","2,146",481,296,"2,427",10
Hansford,"3,400","2,975","1,747","1,610","4,355","3,987",812,139,84,"1,616",295
Hardeman,"3,800","2,387","1,357","1,226","3,383","3,190",912,102,16,"1,146",0
Hardin,"11,800","26,470","14,976","12,250","48,425","45,112","9,762","1,003",527,"16,190","1,814"
Harris,"3,395,220","3,471,257","2,031,647","1,583,059","3,873,534","3,601,939","514,167","225,769","27,623","1,408,024","148,273"
Harrison,"16,870","29,374","17,292","14,374","55,838","51,900","11,607","3,063",608,"20,509","2,169"
Hartley,"1,475","3,555","2,080","1,493","4,854","4,561",861,196,94,"1,669",253
Haskell,"3,200","3,238","1,876","1,507","5,059","4,831","1,266",123,68,"1,872",187
Hays,"170,240","183,218","106,926","84,905","195,999","183,380","26,187","5,488","1,907","61,462","6,431"
Hemphill,"3,100","2,177","1,295","1,169","3,122","2,827",606,104,98,"1,066",0
Henderson,"23,170","41,349","23,939","19,601","71,288","67,238","18,534","2,043",998,"26,544","1,787"
Hidalgo,"641,140","767,472","441,606","351,326","681,678","620,824","98,328","54,962","17,074","286,328","36,161"
Hill,"10,400","18,885","11,141","9,419","31,136","29,198","7,684",862,523,"11,381","1,209"
Hockley,"5,500","12,542","7,108","6,213","19,075","17,799","3,453",483,263,"6,829",887
Hood,"31,570","42,930","23,399","20,754","53,157","50,193","15,416","1,720",867,"16,867",147
Hopkins,"14,810","17,964","10,105","8,643","31,222","29,175","6,887","1,192",620,"11,166","1,299"
Houston,"6,800","10,931","6,635","5,024","19,962","18,929","5,176",634,538,"7,399",631
Howard,"7,900","13,866","8,291","6,522","31,311","29,544","4,813","1,456",454,"12,143",858
Hudspeth,"2,000","3,854","2,192","1,791","4,139","3,979",775,33,0,"1,778",145
Hunt,"39,410","48,203","27,654","22,856","82,800","77,878","15,810","4,112",947,"31,096","2,723"
Hutchinson,"4,900","9,817","5,524","4,530","17,397","16,258","3,581",504,246,"6,098",741
Irion,0,865,478,405,"1,292","1,234",328,15,0,429,0
Jack,"3,900","4,259","2,570","1,939","7,655","7,230","1,515",198,149,"2,732",284
Jackson,"11,060","8,740","4,841","4,216","12,264","11,425","2,720",380,237,"4,205",674
Jasper,"15,270","16,285","9,098","7,902","29,963","28,056","7,187","1,597",374,"11,687","1,173"
Jeff Davis,"1,400","2,005","1,114",953,"2,246","2,180",812,28,0,685,0
Jefferson,"241,300","144,499","82,048","64,246","209,484","197,382","37,595","13,127","2,431","90,120","6,898"
Jim Hogg,"1,400","4,406","2,464","1,974","4,107","3,791",890,14,60,"1,572",0
Jim Wells,"35,525","29,432","16,511","13,709","32,896","30,579","6,358","3,897",985,"12,474","1,370"
Johnson,"105,100","98,009","54,947","45,812","145,438","135,345","25,151","3,559","1,471","53,224","5,814"
Jones,"3,300","9,280","5,390","4,425","17,778","17,011","3,188",337,254,"6,981",525
Karnes,"14,520","10,041","6,001","4,868","13,389","12,669","2,211",370,244,"5,177",505
Kaufman,"65,950","82,459","48,046","37,689","110,544","102,341","16,113","2,857","1,189","40,613","4,498"
Kendall,"19,400","38,362","21,987","18,181","40,495","37,890","9,152","1,091",801,"12,702",160
Kenedy,0,330,177,157,333,321,68,1,0,139,0
Kent,0,404,227,201,646,615,201,13,60,198,0
Kerr,"20,100","31,745","18,512","14,620","46,093","43,793","14,769","2,805","1,022","13,990","1,087"
Kimble,"2,900","2,669","1,544","1,249","3,832","3,651","1,288",90,0,"1,243",0
King,0,65,38,33,215,205,51,7,0,69,0
Kinney,"2,400","2,106","1,235",910,"3,211","3,050",910,11,0,"1,171",0
Kleberg,"59,725","26,724","14,743","12,413","25,919","24,188","4,046","1,401",341,"9,265",870
Knox,"2,300","2,049","1,127","1,038","3,024","2,808",736,95,127,976,182
La Salle,"24,535","5,729","3,259","2,642","6,477","6,212","1,018",22,60,"2,410",0
Lamar,"28,200","25,212","14,045","12,227","41,942","39,402","9,726","3,115",745,"14,986","1,612"
Lamb,"2,400","6,945","4,065","3,301","10,452","9,740","2,240",454,226,"3,968",536
Lampasas,"5,000","11,106","6,629","5,274","18,448","17,366","4,322",348,284,"6,457",0
Lavaca,"8,700","11,735","6,865","5,972","17,169","16,004","4,775",820,612,"5,435",476
Lee,"5,900","10,162","5,795","4,845","14,935","13,993","3,219",334,226,"5,333",494
Leon,"3,800","8,555","5,164","4,267","14,753","13,946","4,334",155,74,"4,662",603
Liberty,"42,565","38,920","23,708","17,102","71,663","66,868","11,399","1,398",614,"28,567","2,987"
Limestone,"8,100","10,558","6,223","5,016","20,032","18,871","4,670","2,332","1,060","7,512",702
Lipscomb,"1,300","1,453",791,731,"2,698","2,520",617,24,61,919,190
Live Oak,"3,400","5,477","3,059","2,561","10,565","10,055","2,533",35,100,"3,769",300
Llano,"6,800","16,333","9,341","7,977","19,603","18,908","8,119",277,358,"5,362",15
Loving,0,57,32,25,130,129,23,0,0,50,0
Lubbock,"239,890","201,116","112,033","95,557","261,427","244,992","39,476","20,974","4,093","83,028","9,242"
Lynn,"1,800","3,235","1,800","1,539","4,851","4,496",974,191,40,"1,838",328
Madison,"4,100","6,989","4,395","3,104","12,264","11,595","2,264",299,258,"4,451",17
Marion,"1,300","4,938","2,841","2,453","8,663","8,277","2,697",351,158,"3,058",0
Martin,"2,400","2,445","1,444","1,111","4,473","4,136",659,165,0,"1,624",0
Mason,"2,000","3,018","1,644","1,469","3,712","3,521","1,250",104,0,"1,147",0
Matagorda,"16,950","22,013","12,823","10,023","30,169","28,247","6,391","1,113",369,"11,409","1,164"
Maverick,"46,700","47,992","30,722","19,796","46,417","42,606","7,003","2,970","1,198","18,727",152
McCulloch,"4,400","3,833","2,212","1,799","6,865","6,435","1,792",212,122,"2,275",260
McLennan,"153,530","153,247","89,532","72,694","215,130","200,781","37,728","11,153","3,621","71,906","8,718"
McMullen,"1,200",440,254,221,640,616,189,10,0,202,0
Medina,"18,100","33,261","19,588","15,857","44,092","41,263","8,757",899,536,"16,090","1,720"
Menard,"1,400","1,499",848,782,"1,888","1,790",699,9,40,550,0
Midland,"135,835","96,623","53,972","44,652","141,259","131,025","18,438","5,950","1,288","49,538","4,151"
Milam,"11,200","14,180","7,914","6,736","21,093","19,689","5,245",532,297,"7,641",827
Mills,"2,600","2,890","1,626","1,374","4,242","4,006","1,416",149,152,"1,305",265
Mitchell,"4,000","3,546","2,192","1,424","7,286","6,958","1,259",265,96,"2,753",254
Montague,"4,950","9,542","5,458","4,620","16,816","15,872","4,444",560,383,"5,668",702
Montgomery,"404,890","398,629","237,721","175,153","503,062","467,232","81,457","20,255","3,836","157,396","17,330"
Moore,"7,240","13,320","7,585","5,986","16,411","14,986","2,372",448,176,"6,143",27
Morris,"2,100","6,105","3,623","2,963","10,449","9,830","2,730",77,179,"3,692",0
Motley,0,560,356,215,"1,051",994,368,22,50,319,0
Nacogdoches,"33,100","34,900","21,125","17,508","54,401","51,773","9,953","2,530",755,"19,948","1,728"
Navarro,"33,100","29,553","16,539","13,722","41,283","38,360","8,651","1,720",869,"15,775","1,772"
Newton,"2,900","4,432","2,430","2,118","11,888","11,298","2,878",55,113,"4,648",354
Nolan,"9,000","7,681","4,671","4,214","12,204","11,321","2,737",519,251,"4,249",719
Nueces,"289,725","263,126","148,813","122,278","303,484","284,366","54,069","25,582","4,100","113,767","9,771"
Ochiltree,"4,700","5,354","2,933","2,638","7,814","7,106","1,148",200,114,"2,812",0
Oldham,"1,600",978,544,464,"1,894","1,728",316,18,0,654,227
Orange,"5,300","34,964","20,240","16,076","69,350","65,087","13,729","1,456",548,"26,244","2,692"
Palo Pinto,"6,500","14,188","8,033","6,835","24,719","23,207","5,893",864,283,"8,796",816
Panola,"3,900","8,243","4,986","4,076","19,777","18,462","4,589",473,377,"7,117",661
Parker,"73,730","83,373","46,353","40,122","119,419","111,686","22,331","2,890","1,301","40,567","3,773"
Parmer,"2,600","5,271","2,935","2,615","7,816","7,222","1,366",161,174,"2,910",525
Pecos,"6,700","10,934","6,485","4,849","13,080","12,317","2,141",400,120,"5,047",517
Polk,"10,200","26,901","15,498","12,663","44,390","42,276","9,733","1,184",574,"17,118","1,025"
Potter,"194,195","62,903","36,702","27,549","95,273","88,673","15,203","10,224","1,770","35,559",518
Presidio,"5,300","8,729","4,972","3,954","5,392","5,069","1,601",27,0,"2,039",0
